Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.37922524927406137,0.5669788497810563,0.8626193529998575,0.8086666666666666
2,0.25848863827526025,0.3582078469917178,0.9062277326492804,0.876
3,0.23205176255571733,0.3726154909042331,0.9107880860766709,0.873
4,0.20621949700860803,0.840540178808927,0.9221889696451475,0.7466666666666667
5,0.19180361044789673,0.2928035388079782,0.9269630896394471,0.8993333333333333
6,0.17401170573376734,0.4835144410220285,0.9343024084366538,0.8446666666666667
7,0.17437841251082375,0.315158264633889,0.9324497648567764,0.8916666666666667
8,0.15538972506829357,0.356486465393876,0.9394328060424683,0.888
9,0.15104741767185545,0.319614666281268,0.9398603391762862,0.8946666666666667
10,0.1385950826860349,0.29089097841642797,0.9447057146928887,0.903
11,0.1164549858813439,0.35029783053323627,0.9515462448339747,0.8953333333333333
12,0.11797671556609486,0.4069160756965478,0.9507624340886419,0.8803333333333333
13,0.11351370973803035,0.31504901265725493,0.9533988884138521,0.8943333333333333
14,0.10159795358777046,0.3326250385725871,0.95717543109591,0.8933333333333333
15,0.08583531094663734,0.32751465891487896,0.9628758728801482,0.9103333333333333
16,0.0831640267556687,0.42263352560500306,0.9647997719823286,0.8826666666666667
17,0.09243009271903323,0.37492248276248574,0.9613795069117856,0.8933333333333333
18,0.0746823158969573,0.3423736001488275,0.9669374376514179,0.902
19,0.06748607669264899,0.2889217758978096,0.9706427248111729,0.917
20,0.056741006950070276,0.31153473931287107,0.9753455892831695,0.917
21,0.05397314636395612,0.339569551909032,0.9741342454040188,0.9143333333333333
22,0.05334410372984792,0.39912332221865654,0.973635456747898,0.9066666666666666
23,0.06488107113218909,0.3947340026461461,0.9714265355565056,0.904
24,0.05660207485865562,0.4438900897124161,0.9743480119709278,0.9
25,0.04372612558253998,0.43269514637844014,0.9783383212198945,0.9053333333333333
26,0.056383062290762544,0.37135712592862546,0.9744192674932307,0.907
27,0.04886155654120883,0.38199197066326934,0.9774832549522589,0.915
28,0.03480162716752619,0.40547719101111096,0.9828274191249822,0.908
29,0.04551491568104253,0.36704412981513695,0.9789796209206213,0.9143333333333333
30,0.03962613642642941,0.40549033423303626,0.9807610089781958,0.906
31,0.04078257892391892,0.5014872888568789,0.9795496650990452,0.8956666666666667
32,0.04202320492920389,0.40721225754896295,0.9799059427105601,0.9126666666666666
33,0.02628897479948921,0.5607824431111416,0.9848938292717686,0.89
34,0.038190277028452915,0.384734392282553,0.9811885421120137,0.9103333333333333
35,0.03624984709580147,0.4377478001018365,0.9809747755451047,0.9006666666666666
36,0.03797099155100456,0.47117273102048784,0.9821861194242554,0.905
37,0.0370298443755152,0.3959536198720646,0.9811885421120137,0.9126666666666666
38,0.030557287028144805,0.39754972808683914,0.9841812740487388,0.914
39,0.028101535513997078,0.401505299222966,0.9846800627048596,0.913
40,0.028901090542145007,0.47878461657091975,0.9838249964372239,0.9053333333333333
41,0.03788121926615339,0.4410927021720757,0.9809035200228018,0.908
42,0.031168365851044655,0.4629890799211959,0.983468718825709,0.909
43,0.024214381422557003,0.4852200975874439,0.9855351289724954,0.9123333333333333
44,0.028846800143599784,0.5332357813992227,0.9847513182271626,0.8966666666666666
45,0.020781517614089293,0.4552958446535437,0.9872452615077668,0.914
46,0.017594018005851416,0.44443112541921437,0.9878153056861907,0.9143333333333333
47,0.029818496256724957,0.4618483918408553,0.9848938292717686,0.9126666666666666
48,0.030405189405161237,0.45863204224345583,0.9840387630041328,0.9096666666666666
49,0.03307723098887353,0.41655547115563724,0.983112441214194,0.9173333333333333
50,0.025333713932355884,0.43545895302668214,0.9848225737494656,0.9123333333333333
